Id,Label,size
Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii,8803065.757
unclassified_g__Bacteroides,unclassified_g__Bacteroides,4034085.165
Escherichia_coli,Escherichia_coli,1652664.187
Bacteroides_vulgatus,Bacteroides_vulgatus,1834093.874
Bacteroides_fragilis,Bacteroides_fragilis,1100371.009
Bacteroides_uniformis,Bacteroides_uniformis,1392648.728
unclassified_o__Bacteroidales,unclassified_o__Bacteroidales,1184405.441
Prevotella_copri,Prevotella_copri,1657655.946
Bacteroides_ovatus,Bacteroides_ovatus,923932.4409
Bifidobacterium_longum,Bifidobacterium_longum,907370.1902
Subdoligranulum_variabile,Subdoligranulum_variabile,1073722.133
Bacteroides_plebeius,Bacteroides_plebeius,942540.345
Bacteroides_stercoris,Bacteroides_stercoris,731195.9435
Alistipes_putredinis,Alistipes_putredinis,894006.5241
Bifidobacterium_pseudocatenulatum,Bifidobacterium_pseudocatenulatum,637277.7463
unclassified_f__Enterobacteriaceae,unclassified_f__Enterobacteriaceae,562123.3101
Eubacterium_rectale,Eubacterium_rectale,1199043.165
Bacteroides_thetaiotaomicron,Bacteroides_thetaiotaomicron,569761.2279
Parabacteroides_merdae,Parabacteroides_merdae,508889.4188
Alistipes_finegoldii,Alistipes_finegoldii,632469.8211
Prevotella_copri_CAG164,Prevotella_copri_CAG164,995767.8551
Collinsella_aerofaciens,Collinsella_aerofaciens,727080.7988
unclassified_o__Clostridiales,unclassified_o__Clostridiales,619379.0968
Ruminococcus_torques,Ruminococcus_torques,718863.5134
Bacteroides_coprocola,Bacteroides_coprocola,651723.4223
Bacteroides_caccae,Bacteroides_caccae,341387.0484
Bacteroides_plebeius_CAG211,Bacteroides_plebeius_CAG211,509068.8294
Ruminococcus_gnavus,Ruminococcus_gnavus,367909.1815
Roseburia_faecis,Roseburia_faecis,680167.2364
Oscillibacter_sp._ER4,Oscillibacter_sp._ER4,389324.4733
Hungatella_hathewayi,Hungatella_hathewayi,249406.3722
Bacteroides_dorei,Bacteroides_dorei,415583.3854
Parabacteroides_distasonis,Parabacteroides_distasonis,358358.1016
Roseburia_inulinivorans,Roseburia_inulinivorans,599782.7307
Blautia_wexlerae,Blautia_wexlerae,521453.2383
Bifidobacterium_breve,Bifidobacterium_breve,351524.4012
Alistipes_shahii,Alistipes_shahii,333162.7208
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,468681.062
Blautia_obeum,Blautia_obeum,456857.8612
Flavonifractor_plautii,Flavonifractor_plautii,274872.6355
Bacteroides_xylanisolvens,Bacteroides_xylanisolvens,295604.6221
Faecalibacterium_sp._CAG82,Faecalibacterium_sp._CAG82,401666.7599
Fusicatenibacter_saccharivorans,Fusicatenibacter_saccharivorans,370157.2256
Akkermansia_muciniphila,Akkermansia_muciniphila,294269.3967
unclassified_g__Parabacteroides,unclassified_g__Parabacteroides,229856.7764
Klebsiella_pneumoniae,Klebsiella_pneumoniae,257958.7452
unclassified_g__Bifidobacterium,unclassified_g__Bifidobacterium,255599.7416
Ruminococcus_bromii,Ruminococcus_bromii,383599.3015
Bacteroides_massiliensis,Bacteroides_massiliensis,265240.6846
Firmicutes_bacterium_CAG103,Firmicutes_bacterium_CAG103,288045.9278
Alistipes_sp._CAG29,Alistipes_sp._CAG29,232890.1952
Dorea_longicatena,Dorea_longicatena,328498.1383
Akkermansia_sp._CAG344,Akkermansia_sp._CAG344,211836.1604
unclassified_p__Proteobacteria,unclassified_p__Proteobacteria,153645.5298
Ruminococcus_sp._CAG108,Ruminococcus_sp._CAG108,311691.6747
Subdoligranulum_sp._4_3_54A2FAA,Subdoligranulum_sp._4_3_54A2FAA,138341.1329
Dialister_invisus,Dialister_invisus,214670.7102
Alistipes_putredinis_CAG67,Alistipes_putredinis_CAG67,226410.3199
Faecalibacterium_sp._CAG74,Faecalibacterium_sp._CAG74,159663.3922
Tyzzerella_nexilis,Tyzzerella_nexilis,198251.5766
Bacteroides_intestinalis,Bacteroides_intestinalis,196715.419
Akkermansia_muciniphila_CAG154,Akkermansia_muciniphila_CAG154,195801.9318
Roseburia_intestinalis,Roseburia_intestinalis,270360.4454
Megamonas_funiformis,Megamonas_funiformis,152102.6559
Bacteroides_finegoldii,Bacteroides_finegoldii,164037.3004
Chlamydia_trachomatis,Chlamydia_trachomatis,300288.5008
Bacteroides_cellulosilyticus,Bacteroides_cellulosilyticus,164647.3621
Ruminococcus_bicirculans,Ruminococcus_bicirculans,192559.3613
Coprococcus_comes,Coprococcus_comes,249610.3538
Clostridium_sp._ATCC_BAA.442,Clostridium_sp._ATCC_BAA.442,144322.1362
unclassified_g__Alistipes,unclassified_g__Alistipes,164763.8263
Firmicutes_bacterium_CAG124,Firmicutes_bacterium_CAG124,131251.0611
Clostridium_clostridioforme,Clostridium_clostridioforme,146456.3053
Bifidobacterium_bifidum,Bifidobacterium_bifidum,222274.9579
Anaerostipes_hadrus,Anaerostipes_hadrus,228400.7848
Clostridium_bolteae,Clostridium_bolteae,122948.2249
Bacteroides_eggerthii,Bacteroides_eggerthii,158684.3386
Firmicutes_bacterium_CAG83,Firmicutes_bacterium_CAG83,140689.4624
unclassified_g__Oscillibacter,unclassified_g__Oscillibacter,137093.9543
Bacteroides_coprocola_CAG162,Bacteroides_coprocola_CAG162,227325.923
Alistipes_sp._CAG53,Alistipes_sp._CAG53,136913.9365
Peptoclostridium_difficile,Peptoclostridium_difficile,160897.3843
Bacteroides_sp._3_1_13,Bacteroides_sp._3_1_13,138293.2974
Bacteroides_stercoris_CAG120,Bacteroides_stercoris_CAG120,115218.2054
Bacteroides_coprophilus,Bacteroides_coprophilus,170794.6219
Firmicutes_bacterium_CAG65,Firmicutes_bacterium_CAG65,137637.2433
Alistipes_onderdonkii,Alistipes_onderdonkii,121754.5444
Firmicutes_bacterium_CAG176,Firmicutes_bacterium_CAG176,83495.97066
Firmicutes_bacterium_CAG41,Firmicutes_bacterium_CAG41,179160.0187
Shigella_sonnei,Shigella_sonnei,83681.75869
Ruminococcus_sp._CAG177,Ruminococcus_sp._CAG177,94149.15252
Collinsella_sp._4_8_47FAA,Collinsella_sp._4_8_47FAA,139416.7063
Dialister_invisus_CAG218,Dialister_invisus_CAG218,109926.0394
Eubacterium_hallii,Eubacterium_hallii,156379.5955
Anaerotruncus_colihominis,Anaerotruncus_colihominis,103817.9208
Alistipes_sp._AL.1,Alistipes_sp._AL.1,109944.9162
Oscillibacter_sp._CAG241,Oscillibacter_sp._CAG241,86874.88483
Roseburia_sp._CAG18,Roseburia_sp._CAG18,174319.6203
Blautia_sp._CAG37,Blautia_sp._CAG37,126945.6752
Parasutterella_excrementihominis,Parasutterella_excrementihominis,118769.8802
Eubacterium_desmolans,Eubacterium_desmolans,118526.6909
Ruminococcaceae_bacterium_AM2,Ruminococcaceae_bacterium_AM2,77621.0733
Ruminococcaceae_bacterium_cv2,Ruminococcaceae_bacterium_cv2,74930.59174
Ruminococcaceae_bacterium_585.1,Ruminococcaceae_bacterium_585.1,80948.41819
Clostridium_sp._CAG91,Clostridium_sp._CAG91,75217.83876
Bacteroides_faecis,Bacteroides_faecis,52160.8278
Parabacteroides_goldsteinii,Parabacteroides_goldsteinii,46433.87233
Alistipes_obesi,Alistipes_obesi,73834.30403
Ruminococcaceae_bacterium_D16,Ruminococcaceae_bacterium_D16,105090.1869
butyrate.producing_bacterium_SS3.4,butyrate.producing_bacterium_SS3.4,108383.86
Proteobacteria_bacterium_CAG139,Proteobacteria_bacterium_CAG139,89706.75889
Clostridia_bacterium_UC5.1.1D1,Clostridia_bacterium_UC5.1.1D1,95459.67971
Ruminococcus_callidus,Ruminococcus_callidus,104350.0742
Clostridium_sp._CAG43,Clostridium_sp._CAG43,110584.1668
unclassified_g__Escherichia,unclassified_g__Escherichia,57383.20701
Prevotella_sp._109,Prevotella_sp._109,139892.3972
Bacteroides_sp._D2,Bacteroides_sp._D2,86004.46121
Eubacterium_eligens,Eubacterium_eligens,101305.2941
Prevotella_sp._CAG386,Prevotella_sp._CAG386,125100.8825
Parabacteroides_johnsonii,Parabacteroides_johnsonii,69664.50147
Clostridium_sp._GD3,Clostridium_sp._GD3,64490.30369
Blautia_sp._GD8,Blautia_sp._GD8,103535.0274
Escherichia_albertii,Escherichia_albertii,54860.72533
Prevotella_sp._CAG604,Prevotella_sp._CAG604,101241.25
Dorea_formicigenerans,Dorea_formicigenerans,108432.2488
Firmicutes_bacterium_CAG170,Firmicutes_bacterium_CAG170,54993.33111
Prevotella_stercorea,Prevotella_stercorea,99373.03275
Parabacteroides_sp._D26,Parabacteroides_sp._D26,64872.8505
Bifidobacterium_pseudocatenulatum_CAG263,Bifidobacterium_pseudocatenulatum_CAG263,61242.65329
Oscillospiraceae_bacterium_VE202.24,Oscillospiraceae_bacterium_VE202.24,69599.23157
Streptococcus_salivarius,Streptococcus_salivarius,81863.79574
Enterobacter_cloacae,Enterobacter_cloacae,60679.93419
unclassified_g__Eggerthella,unclassified_g__Eggerthella,75505.76942
Firmicutes_bacterium_CAG129,Firmicutes_bacterium_CAG129,50030.32853
Ruminococcus_sp._CAG57,Ruminococcus_sp._CAG57,76076.15382
Collinsella_sp._CAG166,Collinsella_sp._CAG166,85353.6687
Eubacterium_sp._CAG146,Eubacterium_sp._CAG146,78995.25323
Parabacteroides_gordonii,Parabacteroides_gordonii,41019.29014
Clostridium_symbiosum,Clostridium_symbiosum,69393.21169
Megamonas_rupellensis,Megamonas_rupellensis,53764.19631
Blautia_sp._CAG237,Blautia_sp._CAG237,72116.53189
Streptococcus_parasanguinis,Streptococcus_parasanguinis,60111.01717
unclassified_g__Blautia,unclassified_g__Blautia,86815.32888
Bacteroides_clarus,Bacteroides_clarus,48156.3395
Shigella_dysenteriae,Shigella_dysenteriae,45030.59535
Veillonella_parvula,Veillonella_parvula,43623.56074
Dialister_sp._CAG357,Dialister_sp._CAG357,120300.387
Ruminococcaceae_bacterium_668,Ruminococcaceae_bacterium_668,49195.57203
Candidatus_Alistipes_marseilloanorexicus,Candidatus_Alistipes_marseilloanorexicus,53292.98191
Clostridium_sp._CAG138,Clostridium_sp._CAG138,21071.75166
Bifidobacterium_kashiwanohense,Bifidobacterium_kashiwanohense,50352.38113
unclassified_g__Fusicatenibacter,unclassified_g__Fusicatenibacter,38021.12342
Bacteroides_salyersiae,Bacteroides_salyersiae,63021.33468
Bacteroides_sp._3_1_19,Bacteroides_sp._3_1_19,50012.21165
unclassified_f__Ruminococcaceae,unclassified_f__Ruminococcaceae,39222.66429
Prevotella_sp._CAG732,Prevotella_sp._CAG732,70126.29048
Blautia_sp._Marseille.P2398,Blautia_sp._Marseille.P2398,83873.76603
unclassified_g__Megamonas,unclassified_g__Megamonas,49122.83486
Blautia_sp._KLE_1732,Blautia_sp._KLE_1732,74899.63122
Eggerthella_lenta,Eggerthella_lenta,59072.28777
Eubacterium_rectale_CAG36,Eubacterium_rectale_CAG36,91750.72937
Ruminococcus_faecis,Ruminococcus_faecis,84168.00582
Ruminococcus_sp._5_1_39BFAA,Ruminococcus_sp._5_1_39BFAA,73525.48547
Veillonella_dispar,Veillonella_dispar,54224.82129
Bacteroides_sp._CAG98,Bacteroides_sp._CAG98,55197.82991
Eubacterium_sp._CAG251,Eubacterium_sp._CAG251,49200.75658
Firmicutes_bacterium_CAG110,Firmicutes_bacterium_CAG110,43987.05308
Clostridium_innocuum,Clostridium_innocuum,42064.04181
Butyricicoccus_pullicaecorum,Butyricicoccus_pullicaecorum,66328.52559
Prevotella_stercorea_CAG629,Prevotella_stercorea_CAG629,69909.8329
Dialister_succinatiphilus,Dialister_succinatiphilus,88136.12991
Citrobacter_freundii,Citrobacter_freundii,14068.24063
Bifidobacterium_catenulatum,Bifidobacterium_catenulatum,37718.51408
unclassified_g__Klebsiella,unclassified_g__Klebsiella,38296.97979
Bacteroides_caccae_CAG21,Bacteroides_caccae_CAG21,31326.5694
Salmonella_enterica,Salmonella_enterica,26694.2075
Parabacteroides_merdae_CAG48,Parabacteroides_merdae_CAG48,33043.02183
Klebsiella_oxytoca,Klebsiella_oxytoca,14046.78475
Paraprevotella_clara,Paraprevotella_clara,38254.85872
Lachnospira_pectinoschiza,Lachnospira_pectinoschiza,55057.52533
Blautia_sp._CAG257,Blautia_sp._CAG257,23467.74482
unclassified_g__Citrobacter,unclassified_g__Citrobacter,4594.982786
Rothia_mucilaginosa,Rothia_mucilaginosa,11461.0294
Prevotella_sp._CAG255,Prevotella_sp._CAG255,62206.39012
unclassified_g__Enterobacter,unclassified_g__Enterobacter,36276.08885
Prevotella_sp._CAG520,Prevotella_sp._CAG520,49708.13916
unclassified_g__Veillonella,unclassified_g__Veillonella,33808.38399
Eubacterium_sp._CAG76,Eubacterium_sp._CAG76,42486.89133
Veillonella_sp._CAG933,Veillonella_sp._CAG933,14739.37726
Parabacteroides_sp._HGS0025,Parabacteroides_sp._HGS0025,11871.9616
Megamonas_funiformis_CAG377,Megamonas_funiformis_CAG377,26588.2162
Candidatus_Bacteroides_timonensis,Candidatus_Bacteroides_timonensis,26150.07041
Megamonas_hypermegale,Megamonas_hypermegale,26224.80345
unclassified_g__Prevotella,unclassified_g__Prevotella,24328.14205
Bacteroides_intestinalis_CAG315,Bacteroides_intestinalis_CAG315,32158.37025
Bacteroides_salanitronis,Bacteroides_salanitronis,36884.03423
Ruminococcus_gnavus_CAG126,Ruminococcus_gnavus_CAG126,21740.53944
Clostridiaceae_bacterium_MS3,Clostridiaceae_bacterium_MS3,16494.35033
Citrobacter_sp._FDAARGOS_156,Citrobacter_sp._FDAARGOS_156,2578.941633
Prevotella_buccae,Prevotella_buccae,16261.43739
Firmicutes_bacterium_CAG341,Firmicutes_bacterium_CAG341,16091.6983
Clostridium_sp._CAG226,Clostridium_sp._CAG226,17670.19609
Sinorhizobium_sp._GL28,Sinorhizobium_sp._GL28,40147.03566
Firmicutes_bacterium_CAG227,Firmicutes_bacterium_CAG227,18309.83191
Veillonella_atypica,Veillonella_atypica,34950.82235
Prevotella_sp._CAG279,Prevotella_sp._CAG279,21436.80593
Anaerostipes_caccae,Anaerostipes_caccae,25004.86135
Bacteroides_faecis_CAG32,Bacteroides_faecis_CAG32,8190.857378
Clostridium_hathewayi_CAG224,Clostridium_hathewayi_CAG224,10683.72125
Citrobacter_sp._MGH100,Citrobacter_sp._MGH100,592.8815375
Firmicutes_bacterium_CAG321,Firmicutes_bacterium_CAG321,23562.56566
Lachnospiraceae_bacterium_TF01.11,Lachnospiraceae_bacterium_TF01.11,27667.81818
Clostridium_sp._CAG302,Clostridium_sp._CAG302,8111.707392
Citrobacter_pasteurii,Citrobacter_pasteurii,426.8857079
Bacteroides_coprophilus_CAG333,Bacteroides_coprophilus_CAG333,23301.125
Alistipes_inops,Alistipes_inops,19424.46407
Bacteroides_sp._CAG462,Bacteroides_sp._CAG462,19241.33206
Roseburia_sp._CAG197,Roseburia_sp._CAG197,8640.546073
Prevotella_sp._CAG617,Prevotella_sp._CAG617,14511.31417
